b_id,b_ts,pickup_datetime_same_time,pickup_datetime_1min,which_week,dist_bin,rides_per_minute,sequence,which_week_dummy,before_after_rain_dummy,within_two_hours_dummy
0,2010-01-17 11:51:00,2010-01-17 06:47:00,2010-01-24 06:47:00,Week after,31.75,80,3644,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:48:00,2010-01-10 06:48:00,Week before,63.5,83,3804,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:48:00,2010-01-17 06:48:00,Current week,63.75,55,4149,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:48:00,2010-01-24 06:48:00,Week after,63.5,59,3708,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:49:00,2010-01-10 06:49:00,Week before,63.5,79,3381,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:49:00,2010-01-17 06:49:00,Current week,63.5,57,3756,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:49:00,2010-01-24 06:49:00,Week after,63.25,78,3772,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:50:00,2010-01-10 06:50:00,Week before,63.5,86,3924,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:50:00,2010-01-17 06:50:00,Current week,63.5,64,3820,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:50:00,2010-01-24 06:50:00,Week after,63.5,76,3836,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:51:00,2010-01-10 06:51:00,Week before,63.75,64,3988,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:51:00,2010-01-17 06:51:00,Current week,63.5,83,3884,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:51:00,2010-01-24 06:51:00,Week after,63.5,81,3900,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:52:00,2010-01-10 06:52:00,Week before,63.5,84,3542,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:52:00,2010-01-17 06:52:00,Current week,63.75,85,4446,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:52:00,2010-01-24 06:52:00,Week after,96.75,69,4965,0,10,0
0,2010-01-17 11:51:00,2010-01-17 06:53:00,2010-01-10 06:53:00,Week before,63.5,82,4108,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:53:00,2010-01-17 06:53:00,Current week,63.75,64,4527,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:53:00,2010-01-24 06:53:00,Week after,63.5,73,4044,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:54:00,2010-01-10 06:54:00,Week before,63.75,76,4698,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:54:00,2010-01-17 06:54:00,Current week,63.25,75,3577,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:54:00,2010-01-24 06:54:00,Week after,63.75,85,4626,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:55:00,2010-01-10 06:55:00,Week before,63.5,59,4244,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:55:00,2010-01-17 06:55:00,Current week,63.75,55,4671,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:55:00,2010-01-24 06:55:00,Week after,63.5,82,4180,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:56:00,2010-01-10 06:56:00,Week before,63.5,75,4308,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:56:00,2010-01-17 06:56:00,Current week,63.75,74,4752,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:56:00,2010-01-24 06:56:00,Week after,63.75,82,4244,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:57:00,2010-01-10 06:57:00,Week before,63.5,70,4372,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:57:00,2010-01-17 06:57:00,Current week,63.5,82,3752,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:57:00,2010-01-24 06:57:00,Week after,63.75,66,4851,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:58:00,2010-01-10 06:58:00,Week before,96.5,66,4436,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:58:00,2010-01-17 06:58:00,Current week,63.5,63,4348,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:58:00,2010-01-24 06:58:00,Week after,63.5,67,4380,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:59:00,2010-01-10 06:59:00,Week before,63.5,61,3934,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:59:00,2010-01-17 06:59:00,Current week,63.75,59,4412,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:59:00,2010-01-24 06:59:00,Week after,63.75,82,5004,0,9,0
0,2010-01-17 11:51:00,2010-01-17 07:00:00,2010-01-10 07:00:00,Week before,63.5,78,4556,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:00:00,2010-01-17 07:00:00,Current week,63.75,57,4476,8,0,0
0,2010-01-17 11:51:00,2010-01-17 07:00:00,2010-01-24 07:00:00,Week after,63.75,69,5085,0,9,0
0,2010-01-17 11:51:00,2010-01-17 07:01:00,2010-01-10 07:01:00,Week before,63.75,85,5202,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:01:00,2010-01-17 07:01:00,Current week,63.5,61,4540,8,0,0
0,2010-01-17 11:51:00,2010-01-17 07:01:00,2010-01-24 07:01:00,Week after,63.75,73,5166,0,9,0
0,2010-01-17 11:51:00,2010-01-17 07:02:00,2010-01-10 07:02:00,Week before,96.5,82,5283,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:02:00,2010-01-17 07:02:00,Current week,63.5,72,4604,8,0,0
0,2010-01-17 11:51:00,2010-01-17 07:02:00,2010-01-24 07:02:00,Week after,63.75,84,5247,0,9,0
0,2010-01-17 11:51:00,2010-01-17 07:03:00,2010-01-10 07:03:00,Week before,63.75,82,4764,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:03:00,2010-01-17 07:03:00,Current week,63.5,70,4668,8,0,0
0,2010-01-17 11:51:00,2010-01-17 07:03:00,2010-01-24 07:03:00,Week after,63.5,80,4137,0,7,0
0,2010-01-17 11:51:00,2010-01-17 07:04:00,2010-01-10 07:04:00,Week before,63.75,81,5436,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:04:00,2010-01-17 07:04:00,Current week,63.75,77,5328,9,0,0
0,2010-01-17 11:51:00,2010-01-17 07:04:00,2010-01-24 07:04:00,Week after,63.0,72,4186,0,7,0
0,2010-01-17 11:51:00,2010-01-17 07:05:00,2010-01-10 07:05:00,Week before,63.75,88,5517,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:05:00,2010-01-17 07:05:00,Current week,63.5,67,4804,8,0,0
0,2010-01-17 11:51:00,2010-01-17 07:05:00,2010-01-24 07:05:00,Week after,63.75,77,4844,0,8,0
0,2010-01-17 11:51:00,2010-01-17 07:06:00,2010-01-10 07:06:00,Week before,63.5,72,4972,0,0,0
0,2010-01-17 11:51:00,2010-01-17 07:06:00,2010-01-17 07:06:00,Current week,63.5,71,4868,8,0,0
