DATE,afternoon_dummy,HourlyPrecipitation,HourlyDryBulbTemperature,treatment
2010-08-15,0,0.0,75.66666666666667,0
2010-08-15,1,0.0,75.8,0
2010-08-16,0,0.0,78.33333333333333,0
2010-08-16,1,0.0,82.66666666666667,0
2010-08-17,0,0.0,82.33333333333333,0
2010-08-17,1,0.0,87.33333333333333,0
2010-08-18,0,0.0,78.0,0
2010-08-18,1,0.0,84.33333333333333,0
2010-08-19,0,0.0,83.0,0
2010-08-19,1,0.0,88.0,0
2010-08-20,0,0.0,83.66666666666667,0
2010-08-20,1,0.0,89.0,0
2010-08-21,0,0.0,76.33333333333333,0
2010-08-21,1,0.0,81.33333333333333,0
2010-08-24,0,0.0,68.0,0
2010-08-24,1,0.01,67.66666666666667,0
2010-08-26,0,0.0,75.0,0
2010-08-26,1,0.0,81.0,0
2010-08-27,0,0.0,71.66666666666667,0
2010-08-27,1,0.0,77.66666666666667,0
2010-08-28,0,0.0,73.0,0
2010-08-28,1,0.0,81.0,0
2010-08-29,0,0.0,80.66666666666667,0
2010-08-29,1,0.0,91.0,0
2010-08-30,0,0.0,81.33333333333333,0
2010-08-30,1,0.0,90.0,0
2010-08-31,0,0.0,87.0,0
2010-08-31,1,0.0,94.66666666666667,0
2010-09-01,0,0.0,89.0,0
2010-09-01,1,0.0,94.0,0
2010-09-02,0,0.0,87.0,0
2010-09-02,1,0.0,92.66666666666667,0
2010-09-03,0,0.0,81.66666666666667,0
2010-09-03,1,0.0,83.0,0
2010-09-04,0,0.0,75.66666666666667,0
2010-09-04,1,0.0,79.33333333333333,0
2010-09-05,0,0.0,69.33333333333333,0
2010-09-05,1,0.0,75.0,0
2010-09-06,0,0.0,73.0,0
2010-09-06,1,0.0,78.66666666666667,0
2010-09-07,0,0.0,78.0,0
2010-09-07,1,0.0,86.33333333333333,0
2010-09-08,0,0.0,82.33333333333333,0
2010-09-08,1,0.0,88.33333333333333,0
2010-09-09,0,0.0,67.0,0
2010-09-09,1,0.0,68.66666666666667,0
2010-09-10,0,0.0,69.0,0
2010-09-10,1,0.0,71.0,0
2010-09-11,0,0.0,70.66666666666667,0
2010-09-11,1,0.0,77.66666666666667,0
2010-09-12,0,0.0,65.0,0
2010-09-12,1,0.0,65.0,0
2010-09-13,0,0.0,65.75,0
2010-09-13,1,0.0,73.0,0
2010-09-14,0,0.0,70.0,0
2010-09-14,1,0.0,75.0,0
2010-09-15,0,0.0,64.0,0
2010-09-15,1,0.0,70.33333333333333,0
2010-09-16,0,0.0,66.75,0
2010-09-16,1,0.0,70.2,0
2010-09-17,0,0.0,67.42857142857143,0
2010-09-17,1,0.0,68.66666666666667,0
2010-09-18,0,0.0,66.33333333333333,0
2010-09-18,1,0.0,68.0,0
2010-09-19,0,0.0,71.0,0
2010-09-19,1,0.0,79.33333333333333,0
2010-09-20,0,0.0,66.33333333333333,0
2010-09-20,1,0.0,72.0,0
2010-09-21,0,0.0,64.71428571428571,0
2010-09-21,1,0.0,67.66666666666667,0
2010-09-22,0,0.0,71.57142857142857,0
2010-09-22,1,0.0,77.66666666666667,0
2010-09-23,0,0.0,71.14285714285714,0
2010-09-23,1,0.0,74.33333333333333,0
2010-09-24,0,0.0,70.0,0
2010-09-24,1,0.0,74.11111111111111,0
2010-09-25,0,0.0,75.85714285714286,0
2010-09-25,1,0.0,79.16666666666667,0
2010-09-26,0,0.0,69.57142857142857,0
2010-09-26,1,0.0,67.625,0
2010-09-29,0,0.0,71.22222222222223,0
2010-09-29,1,0.0,72.58333333333333,0
2010-09-30,0,0.02,72.81818181818181,0
2010-09-30,1,0.0,73.42857142857143,0
2010-10-02,0,0.0,61.142857142857146,0
2010-10-02,1,0.0,64.16666666666667,0
2010-10-03,0,0.0,58.57142857142857,0
2010-10-03,1,0.0,60.166666666666664,0
2010-10-04,0,0.01,55.4,1
2010-10-04,1,0.19,54.25,1
2010-10-05,0,0.0,58.833333333333336,0
2010-10-05,1,0.0,61.1,0
2010-10-07,0,0.0,62.75,0
2010-10-07,1,0.0,65.0,0
2010-10-08,0,0.0,64.85714285714286,0
2010-10-08,1,0.0,67.66666666666667,0
2010-10-09,0,0.0,65.85714285714286,0
2010-10-09,1,0.0,66.71428571428571,0
2010-10-10,0,0.0,60.142857142857146,0
2010-10-10,1,0.0,65.75,0
2010-10-11,0,0.0,67.85714285714286,0
2010-10-11,1,0.0,68.85714285714286,0
2010-10-12,0,0.02,62.833333333333336,0
2010-10-12,1,0.0,62.875,0
2010-10-13,0,0.0,58.142857142857146,0
2010-10-13,1,0.0,61.5,0
2010-10-14,0,0.0,60.42857142857143,0
2010-10-14,1,0.0,60.0,0
2010-10-15,0,0.0,55.5,0
2010-10-15,1,0.01,55.142857142857146,0
2010-10-16,0,0.0,55.285714285714285,0
2010-10-16,1,0.0,57.166666666666664,0
2010-10-17,0,0.0,58.857142857142854,0
2010-10-17,1,0.0,64.0,0
2010-10-18,0,0.0,56.42857142857143,0
2010-10-18,1,0.0,57.833333333333336,0
2010-10-19,0,0.0,53.25,0
2010-10-19,1,0.0,56.625,0
2010-10-20,0,0.0,58.714285714285715,0
2010-10-20,1,0.03,58.166666666666664,0
2010-10-21,0,0.01,57.18181818181818,0
2010-10-21,1,0.02,58.857142857142854,0
2010-10-22,0,0.0,49.142857142857146,0
2010-10-22,1,0.0,50.5,0
2010-10-23,0,0.0,54.285714285714285,0
2010-10-23,1,0.0,59.333333333333336,0
2010-10-24,0,0.0,57.714285714285715,0
2010-10-24,1,0.0,60.0,0
2010-10-25,0,0.0,64.57142857142857,0
2010-10-25,1,0.0,67.42857142857143,0
2010-10-26,0,0.0,64.85714285714286,0
2010-10-26,1,0.0,65.27272727272727,0
2010-10-27,0,0.01,68.45454545454545,1
2010-10-27,1,0.1,66.92307692307692,1
2010-10-28,0,0.0,65.71428571428571,0
2010-10-28,1,0.0,65.5,0
2010-10-29,0,0.0,54.142857142857146,0
2010-10-29,1,0.0,55.5,0
2010-10-30,0,0.0,52.285714285714285,0
